nameAR	nameEN	altName	latitude	longitude	population	place	id
	El Kora		19.1700405	32.6653712		hamlet	node/2294339538
	Umm Dueima		19.2242657	32.6933482		hamlet	node/2294339539
	Umm Saiyal		19.2764303	32.7070049		hamlet	node/2294339540
	El Heibah		19.2103462	32.6896146		hamlet	node/2294339541
	El Heleiba		19.1637554	32.6504876		hamlet	node/2294339542
	El Kab		19.293413	32.7156754		village	node/2294339543
	Umm Belgi		19.2411429	32.6933321		hamlet	node/2294339544
الحماداب	Hamdab		18.6087095	32.039648		village	node/2294364845
	El Harraz		19.0335036	32.4344566		hamlet	node/2298054782
	Kaweina		19.1616679	32.5709645		hamlet	node/2298895446
	Kereiti		18.9751096	32.4376799		village	node/2300250459
	Ed Debab		19.0237161	32.4711229		hamlet	node/2301293384
	El Guni		19.0275754	32.4575986		hamlet	node/2301293451
	El Kuhula		19.0376873	32.5036039		hamlet	node/2301293457
	Essajani		19.0440153	32.5042128		village	node/2301293463
	Umm Ghafur		19.0243698	32.4591809		village	node/2301293474
	El Kararir		19.0512669	32.5054865		hamlet	node/2301367873
	Garfaur		19.0957701	32.5048428		hamlet	node/2301367916
	Wed Ibrahim		19.0940519	32.5270035		hamlet	node/2301367936
	Walad Sabir		19.0880193	32.5167199		hamlet	node/2301367944
	Asabrab		19.0811855	32.5109156		village	node/2301367993
	Ed Dabba		19.0672284	32.4976438		hamlet	node/2301368012
	El Midaimir		19.1016407	32.5314409		village	node/2301368117
	As Suweigat		18.9273556	32.2906646		hamlet	node/2305703243
	Kidr		19.1280586	32.5444546		hamlet	node/2313976470
	Ras el Jezira		19.1171722	32.5429084		hamlet	node/2313990317
	Klilabia		19.108674100000002	32.5204729		hamlet	node/2313990318
	El Haraz		19.1199198	32.5362994		hamlet	node/2313990319
	Atoia		19.1087683	32.539679		hamlet	node/2313990320
	Aluba		19.108931	32.5269455		hamlet	node/2313990321
	El Baragub		19.1048295	32.5213312		hamlet	node/2313990322
	Ed Dom		19.1043505	32.5181823		hamlet	node/2313990326
	Kuka	"NA"	13.6466105	23.0251888		village	node/2363012953
	Muzbat	"NA"	15.2056216	24.2482471		hamlet	node/2363012954
النهود	En Nahud	An-Nahud,Эн-Нахуд	12.692159	28.422103		city	node/2373597402
ود بندة	Wad Banda		13.0931468	27.9432003		city	node/2373597639
بارا	Barah		13.6968325	30.3703697		city	node/2374654672
	Bara		13.8924984	30.3787043		village	node/2374654799
	Menawashei	"NA"	12.6915234	24.994663		town	node/2385330277
	Um Dawaban		15.4304883	32.8342957		suburb	node/2420184472
	Abu Shouk		13.6702342	25.3490977		suburb	node/2430717820
	Al Salaam		13.6734867	25.370255		suburb	node/2430717821
	Wad Alhabil		15.1117854	32.5887128		village	node/2467548863
	Habib Allah		15.1468126	32.5320216		village	node/2467550982
	Om Mongar		15.1558015	32.5456472		village	node/2467550983
