term	cat
power blackout	ELECTRICITY OUTAGE
power failure	ELECTRICITY OUTAGE
power outage	ELECTRICITY OUTAGE
knocked out power	ELECTRICITY OUTAGE
power disruption	ELECTRICITY OUTAGE
disruption of power	ELECTRICITY OUTAGE
without power	ELECTRICITY OUTAGE
to restore power	ELECTRICITY OUTAGE
to restore electricity	ELECTRICITY OUTAGE
downed power line	ELECTRICITY OUTAGE
without electricity	ELECTRICITY OUTAGE
power wont be restored	ELECTRICITY OUTAGE
price of food	FOOD SECURITY
cost of food	FOOD SECURITY
food security	FOOD SECURITY
food shortage	FOOD SECURITY
starvation	FOOD SECURITY
food access	FOOD SECURITY
famine	FOOD SECURITY
access food	FOOD SECURITY
food aid	FOOD SECURITY
famine	FOOD SECURITY
lack of food	FOOD SECURITY
food crisis	FOOD SECURITY
food emergency	FOOD SECURITY
crop failure	FOOD SECURITY
crop fail	FOOD SECURITY
failure of the crop	FOOD SECURITY
failure of crop	FOOD SECURITY
malnourish	FOOD SECURITY
malnourishment	FOOD SECURITY
malnourished	FOOD SECURITY
malnutrition	FOOD SECURITY
drought	WATER SECURITY
water shortage	WATER SECURITY
drinking water	WATER SECURITY
water access	WATER SECURITY
water security	WATER SECURITY
water shortage	WATER SECURITY
water scarcity	WATER SECURITY
shortage of water	WATER SECURITY
water crisis	WATER SECURITY
water supply	WATER SECURITY
water emergency	WATER SECURITY
water level	WATER SECURITY
desertification	WATER SECURITY
poor rainfall	WATER SECURITY
lack of rainfall	WATER SECURITY
lack of rain	WATER SECURITY
no rain	WATER SECURITY
potable water	WATER SECURITY
agriculture	AGRICULTURE
agricultural	AGRICULTURE
animal husbandry	AGRICULTURE
farm	AGRICULTURE
farm	AGRICULTURE
farmer	AGRICULTURE
rancher	AGRICULTURE
herder	AGRICULTURE
pastoralist	AGRICULTURE
livestock	AGRICULTURE
cattle	AGRICULTURE
crop	AGRICULTURE
harvest	AGRICULTURE
harvest	AGRICULTURE
herbicide	AGRICULTURE
pesticide	AGRICULTURE
nuclear proliferation	ID PROLIFERATION
weapon proliferation	ID PROLIFERATION
non proliferation	ID PROLIFERATION
nonproliferation	ID PROLIFERATION
arms proliferation	ID PROLIFERATION
missile proliferation	ID PROLIFERATION
missile technology proliferation	ID PROLIFERATION
landmine	LANDMINE
land mine	LANDMINE
land mine	LANDMINE
antipersonnel mine	LANDMINE
anti personnel mine	LANDMINE
anti tank mine	LANDMINE
roadside bomb	IED
roadside bomb	IED
homemade bomb	IED
carbomb	IED
carbombs	IED
carbombing	IED
car bomb	IED
car bomb	IED
truck bomb	IED
truck bomb	IED
pipe bomb	IED
pipe bomb	IED
nail bomb	IED
nail bomb	IED
nail bombed	IED
nail bombing	IED
ied	IED
ieds	IED
improvised explosive device	IED
build new	NEW CONSTRUCTION
new roadway	NEW CONSTRUCTION
new highway	NEW CONSTRUCTION
