name	normalname	country	latitude	longitude	population
Klagenfurt am Wörthersee	Klagenfurt am Wörthersee	AT	46.62472	14.30528	90610
Kapfenberg	Kapfenberg	AT	47.44458	15.29331	21819
Innsbruck	Innsbruck	AT	47.26266	11.39454	112467
Hallein	Hallein	AT	47.68333	13.1	18980
Graz	Graz	AT	47.06667	15.45	222326
Feldkirch	Feldkirch	AT	47.23306	9.6	31082
Dornbirn	Dornbirn	AT	47.41427	9.74195	43013
Bregenz	Bregenz	AT	47.50311	9.7471	27611
Braunau am Inn	Braunau am Inn	AT	48.25628	13.04343	16403
Baden	Baden	AT	48.00543	16.23264	24893
Amstetten	Amstetten	AT	48.1229	14.87206	22832
Whyalla	Whyalla	AU	-33.03268	137.56483	19645
Rockingham	Rockingham	AU	-32.27682	115.72978	108022
Port Hedland	Port Hedland	AU	-20.31215	118.61059	15044
Perth	Perth	AU	-31.95224	115.8614	1896548
Murray Bridge	Murray Bridge	AU	-35.11986	139.27345	19577
Mount Isa	Mount Isa	AU	-20.72523	139.49727	22785
Morphett Vale	Morphett Vale	AU	-35.13333	138.51667	22602
Mandurah	Mandurah	AU	-32.5269	115.7217	83294
Kwinana	Kwinana	AU	-32.23013	115.78128	30433
Kalgoorlie	Kalgoorlie	AU	-30.74614	121.4742	31107
Gosnells	Gosnells	AU	-32.081	116.0054	17277
Geraldton	Geraldton	AU	-28.77897	114.61459	26872
Gawler	Gawler	AU	-34.60251	138.74902	20006
Fremantle	Fremantle	AU	-32.05	115.76667	24835
Darwin	Darwin	AU	-12.46113	130.84185	129062
Busselton	Busselton	AU	-33.65249	115.3455	21898
Bunbury	Bunbury	AU	-33.32711	115.64137	68248
Armadale	Armadale	AU	-32.14607	116.0093	62296
Alice Springs	Alice Springs	AU	-23.69748	133.88362	25186
Albany	Albany	US	42.65258	-73.75623	97856
Adelaide	Adelaide	AU	-34.92866	138.59863	1225235
Woodridge	Woodridge	AU	-27.63333	153.1	20650
Wodonga	Wodonga	AU	-36.12179	146.88809	31605
Werribee	Werribee	AU	-37.9	144.66667	37737
Warrnambool	Warrnambool	AU	-38.38176	142.48799	33982
Wangaratta	Wangaratta	AU	-36.35846	146.32056	16845
Wagga Wagga	Wagga Wagga	AU	-35.12577	147.35375	46913
Traralgon	Traralgon	AU	-38.19528	146.5415	21960
Townsville	Townsville	AU	-19.26639	146.80569	196219
Toowoomba	Toowoomba	AU	-27.56056	151.95386	131258
Taree	Taree	AU	-31.91099	152.45387	16621
Tamworth	Tamworth	GB	52.63399	-1.69587	74129
Sydney	Sydney	AU	-33.86785	151.20732	4627345
Surfers Paradise	Surfers Paradise	AU	-28.00274	153.42999	18501
Sunnybank	Sunnybank	AU	-27.58333	153.05	16442
